NIMY,DEPINS,LNATRES,BKCLASS,ELNATR,ROAQ,INTINC,LNAG,ROEQ,NTLNLS,NTRTMLGJ,LNRECONSR,ERNASTR,LNRE,P3LNLS,NCLNLSR,IGLSEC,LNLSNET,ROA,DEPDOM,RISDATE,ROE,VOLIAB,EQV,NETINC,EQ,BROR,LNLSDEPR,NTLNLSR,DEPUNINS,COREDEPR,LNATRESR,LNREMULT,P9LNLS,CHBAL,FREPP,CERT,STALP,LNRECONS,EINTEXP,LNREMULTR,COREDEP,REPDTE,RBC1AAJ,LNCI,ELNATRYQ,SC,LNRENRESR,OTHBOR,NCLNLS,SCAF,SCAA,DEPDASTR,REGAGNT,NIMYQ,RSLNLS,SCHF,NUMEMP,ELNATRY,ASSET,NONIX,VOLIABR,NALNLS,DEP,SCHA,RBCRWAJ,NTLNLSQR,P9ASSET,NAMEFULL,LNAGR,P3ASSET,LNRENRES,RSLNLSR,NONII,LIAB,BRO,OTHBFHLB,EQTOT,ID
3.8980279402565765,34680,112,NM,0,1.37,561,3431,11.98,0,2319,0.11055126815060483,97.06,8210,53,0,0,18859,1.3708252623512633,41151,20260331,11.98,2319,11.565363437294044,161,5440,0,45.82877694345216,0,6521,82.55628547739013,0.590374782562859,0,0,13274,0,10075,IL,52,117,0,38832,20260331,11.261438857878026,3796,0,14262,2.091970151157599,222,0,14262,14244,87.49,FDIC,3.9,0,0,8,0,47037,253,4.9301613623317815,0,41151,0,0,0,0,PEOPLES STATE BANK OF COLFAX,7.2942577120139465,53,984,0,14,41597,0,222,5440,10075_20260331
3.687095166915795,19884,91,NM,0,1.44,386,7718,4.9,0,1747,0,97.94,4050,10,0.022334723049434187,0,13341,1.4416324367298263,26926,20260331,4.9,1747,29.13209122697145,136,11164,0,49.546906335883534,0,7095,65.70377328949428,0.6774865991661703,0,3,304,0,10077,IL,0,53,0,25179,20260331,28.93052424265983,1147,0,21358,4.650070455612964,0,3,0,0,70.26,FDIC,3.69,0,21277,7,0,38322,169,4.558739105474662,0,26926,21358,53.4146457216079,0,3,FARMERS STATE BANK OF EMDEN,20.139867439068944,10,1782,0,3,27158,0,0,11164,10077_20260331
4.64595345750197,92634,1560,SM,20,0.45,2224,24,3.71,-156,6954,2.83363802559415,91.48,101578,498,1.2529987680736563,0,121824,0.4494539836370659,133330,20260331,3.71,6954,11.897398011569958,176,19003,8.204152162480279,91.37028425710642,-0.5157578913436981,40847,70.91733239838722,1.2643454580820852,7884,6,19905,0,1008,MI,4526,544,4.93601462522852,113272,20260331,12.169872400118697,21006,0.05,8280,50.55095038942176,5250,1546,8280,8451,83.48,FED,4.65,0,0,42,0.05,159724,1903,4.353760236407803,1540,133330,0,15.786336284326442,-0.52,6,BANK MICHIGAN,0.015025919711502342,498,80742,0,468,140721,13104,5250,19003,1008_20260331
4.459865913087379,378666,4789,NM,146,1.5,7080,27383,13.92,8,57147,4.474665193980395,94.38,275587,4442,0.21296552353311798,0,345972,1.4960125852462625,448951,20260331,13.92,57147,10.655213901106487,1852,54023,0,77.06230746785285,0.009223869067178592,71835,77.27737125500484,1.3653171247658662,413,171,61443,0,10101,IN,22687,1868,0.08145795940908464,391804,20260331,11.013713090875871,29471,0.12,79411,7.5846630243979405,0,747,39937,40234,88.55,FDIC,4.46,0,38888,81,0.12,507010,3219,11.271375318041065,576,448951,39474,0,0.01,171,THE NAPOLEON STATE BANK,5.400879667067711,4442,38455,0,542,452987,0,0,54023,10101_20260331
3.9399177769533957,274822,4135,NM,140,1.37,6850,64185,11.32,26,51209,7.355968024461982,94.64,244059,5431,0.6373441106725595,-8,376664,1.36980377540325,408837,20260331,11.32,59050,12.132063632219994,1663,59356,0,92.13060461748815,0.02778375158120269,135562,73.09733898280835,1.0858747003012088,1148,0,6240,7841,10111,IA,35989,2323,0.23464534419079036,357628,20260331,12.649504934152839,59043,0.12,82445,12.98091564826908,8000,2427,82398,86928,83.56,FDIC,3.94,0,0,61,0.12,489249,2754,12.069518793089,2427,408837,0,0,0.03,0,OHNWARD BANK & TRUST,13.119086600074809,5431,63509,0,500,429893,0,8000,59356,10111_20260331
3.6471881397116594,202595,1855,NM,90,1.67,3886,31336,14.82,23,32881,2.642027735838125,94.28,156045,2593,0.8016490020521118,0,216944,1.6745367383159817,248766,20260331,14.82,37181,11.38846191860564,1223,33415,0.0020449131082338427,87.20805897912093,0.04261498518897661,47183,73.57563281540229,0.8478100905397192,214,0,3259,0,10118,IA,7752,1385,0.07293523419367372,215879,20260331,11.090081031525404,28962,0.12,53821,14.263609748782425,9470,1754,53821,55283,84.78,FDIC,3.65,0,0,40,0.12,293411,2137,12.67198571287375,1754,248766,0,15.18824890914249,0.04,0,LEIGHTON STATE BANK,10.679899526602615,2593,41851,0,997,259996,6,9470,33415,10118_20260331
1.6245390904718646,19564,405,NM,0,-0.9,195,2573,-7.36,-2,2499,0,93.31,876,208,29.89877078814172,0,5127,-0.8987407568872717,23629,20260331,-7.36,2832,12.405451566802608,-67,3559,3.485656523406184,21.69791358076939,-0.1355357899195256,4129,70.16626581616647,7.321041214750543,0,0,3461,333,10120,IA,0,81,0,20130,20260331,15.22850650170433,1414,0,19178,0.16731151312349682,0,1654,19178,20781,82.36,FDIC,1.62,0,0,4,0,28689,186,9.871379274286312,1654,23629,0,41.98093309710622,-0.14,0,AMERICAN TRUST AND SAVINGS BANK,8.96859423472411,208,48,0,5,25130,1000,0,3559,10120_20260331
3.6780427391370383,112574,1414,NM,0,1.56,2091,27514,8.2,0,1446,1.5641572357990268,93.85,62526,605,0.30419148627052156,-27,108714,1.5559584638206692,147545,20260331,8.2,1446,18.824011809086436,708,34431,0,73.68192754752786,0,35197,79.87480181510033,1.2839604823478135,1676,335,13045,0,10121,IA,2861,517,0.9162976327155431,146099,20260331,20.719956959094837,15629,0,48131,4.965830189710787,0,335,47962,52895,80.67,FDIC,3.68,0,0,20,0,182910,759,0.7905527308512383,0,147545,0,0,0,335,LIBERTY TRUST & SAVINGS BANK,15.042370564758626,605,9083,0,85,148479,0,0,34431,10121_20260331
3.318293722638925,167850,741,NM,15,1.28,2417,31414,18.95,6,13806,0.7452801789016471,94.1,69896,9,0.0069264069264069255,-11,114759,1.2781017223364455,212260,20260331,18.95,17177,6.490775383821442,711,15093,0,54.065297276924525,0.020789120360344752,44832,85.34554681116416,0.64155844155844155,0,0,25439,3371,10122,IA,1733,685,0,198454,20260331,10.268758738542799,8283,0.03,81177,6.5208790263621905,0,8,81123,89484,91.28,FDIC,3.32,0,0,21,0.03,232530,1129,7.387003827463124,8,212260,0,18.062700478121407,0.02,0,FARMERS SAVINGS BANK & TRUST,13.509654668214854,9,15163,0,162,217437,0,0,15093,10122_20260331
2.9179773624671084,109440,717,NM,8,0.91,1685,14590,12.21,-2,10906,1.6773596439609912,95.35,44841,5,0,-17,69709,0.9104513723979102,159377,20260331,12.21,12897,7.21333203836903,381,12626,0,43.738431517722134,-0.011268002394450508,50287,84.8226374995001,1.0180899099764291,288,0,22370,1991,10125,IA,2936,522,0.1645366408245114,148471,20260331,9.661676810878982,9249,0.02,77577,3.8094802813119513,0,0,33096,33777,91.05,FDIC,2.92,0,43195,21,0.02,175037,811,7.368156446922651,0,159377,44413,18.115269052171538,-0.01,0,CITIZENS SAVINGS BANK,8.335380519547297,5,6668,0,71,162411,0,0,12626,10125_20260331
