NIMY,DEPINS,LNATRES,BKCLASS,ELNATR,ROAQ,INTINC,LNAG,ROEQ,NTLNLS,NTRTMLGJ,LNRECONSR,ERNASTR,LNRE,P3LNLS,NCLNLSR,IGLSEC,LNLSNET,ROA,DEPDOM,RISDATE,ROE,VOLIAB,EQV,NETINC,EQ,BROR,LNLSDEPR,NTLNLSR,DEPUNINS,COREDEPR,LNATRESR,LNREMULT,P9LNLS,CHBAL,FREPP,CERT,STALP,LNRECONS,EINTEXP,LNREMULTR,COREDEP,REPDTE,RBC1AAJ,LNCI,ELNATRYQ,SC,LNRENRESR,OTHBOR,NCLNLS,SCAF,SCAA,DEPDASTR,REGAGNT,NIMYQ,RSLNLS,SCHF,NUMEMP,ELNATRY,ASSET,NONIX,VOLIABR,NALNLS,DEP,SCHA,RBCRWAJ,NTLNLSQR,P9ASSET,NAMEFULL,LNAGR,P3ASSET,LNRENRES,RSLNLSR,NONII,LIAB,BRO,OTHBFHLB,EQTOT,ID
2.6493535652141373,NA,512,SM,24,0.46,1493,14242,6.71,97,1656,0.0676303998647392,90.37,15810,NA,4.942799543367904,0,40659,0.45960453430742054,52874,19840331,6.71,2951,6.8069997463859995,67,4026,0,76.8979082346711,0.9736389756715724,NA,86.59734550680531,1.2435937917466178,784,399,2476,1025,17437,SD,40,1139,1.3255558373488883,51218,19840331,6.951686984148911,3771,0.16,12086,6.7156987065686025,0,2035,NA,NA,89.4,FED,2.65,NA,NA,39,0.16,59145,332,4.989432750021135,1636,52874,NA,0,0.97,399,FARMERS & MERCHANTS BANK AND TRUST CO.,24.07980387184039,NA,3972,0,71,55119,0,NA,4026,17437_19840331
3.0670000092939396,50049,581,SM,54,0.92,3110,14943,13.48,58,3565,0.04978592054167082,89.86,15834,NA,4.749771169878534,0,39842,0.6953867028493894,53679,19840630,10.12,4824,6.910285771183909,205,4164,0,74.22269416345311,0.2897006426692418,3630,83.16572073417638,1.4373005467184523,814,934,3609,925,17437,SD,30,2285,1.3508579773640015,50114,19840630,7.110170070350385,3492,0.2,12807,6.443957648776926,0,1920,NA,NA,89.08,FED,3.5,NA,NA,39,0.18,60258,642,8.005576023100668,986,53679,NA,0,-0.38,934,FARMERS & MERCHANTS BANK AND TRUST CO.,24.798367021806232,NA,3883,0,147,56094,0,NA,4164,17437_19840630
3.093403560306423,50049,596,SM,84,0.79,4712,13944,11.46,73,4603,0.039761431411530816,89.84,16030,NA,2.963827884328729,0,39656,0.7251666075785698,56910,19840930,10.58,5054,6.815109343936382,326,4285,0,69.68195396239678,0.2427567715867711,3630,83.1920477137177,1.4806717678624663,812,216,3770,0,17437,SD,25,3443,1.2914512922465209,52307,19840930,7.3400938709787935,3630,0.19,13233,6.003976143141153,0,1193,NA,NA,90.51,FED,3.21,NA,NA,37,0.19,62875,948,8.038170974155069,977,56910,NA,0,0.15,216,FARMERS & MERCHANTS BANK AND TRUST CO.,22.17733598409543,NA,3775,0,220,58590,0,NA,4285,17437_19840930
3.2546466243312526,50049,619,SM,114,0.89,6479,16198,13.22,80,4206,0.037707390648567124,90.25,16445,NA,2.6907380507712526,0,42752,0.7678358464981785,59321,19841231,11.26,4703,6.680241327300152,470,4429,0,72.06891320105865,0.19632190903424346,3630,83.12971342383108,1.4272209540937493,810,49,4398,0,17437,SD,25,4657,1.2217194570135748,55115,19841231,7.322839853179458,3064,0.19,12835,5.570135746606335,0,1167,NA,NA,89.47,FED,3.8,NA,NA,37,0.19,66300,1293,7.093514328808446,1118,59321,NA,0,0.07,49,FARMERS & MERCHANTS BANK AND TRUST CO.,24.43137254901961,NA,3693,0,275,61871,0,NA,4429,17437_19841231
3.7461224420796393,50049,656,SM,73,0.92,1699,16332,13.65,36,4789,0.08843790727983615,90.72,16165,NA,5.060431755198994,-2,42285,0.9238864415075869,57867,19850331,13.65,5772,6.86091975423571,151,4422,0,73.07273575613044,0.333673185652053,3630,82.35275864209024,1.52767751100347,806,665,3773,0,17437,SD,57,1145,1.2505430397815427,53078,19850331,6.826918623500533,3041,0.45,12783,5.511078011543474,0,2173,NA,NA,89.78,FED,3.75,NA,NA,37,0.45,64452,358,8.955501768758145,1508,57867,NA,0,0.33,665,FARMERS & MERCHANTS BANK AND TRUST CO.,25.33978774902253,NA,3552,0,108,60030,0,NA,4422,17437_19850331
3.7369938784802446,53517,787,SM,257,0.89,5076,15734,12.9,90,3940,0.023943493355680592,89.88,19800,NA,6.474435704514364,1,46199,0.9013032357598147,57837,19850630,13.24,5810,6.997485933197653,405,4676,0,79.87793281117624,0.1397487527799483,5294,79.81563510116126,1.6749670114502193,1100,1326,3489,1300,17437,SD,16,3419,1.6461151682030408,53336,19850630,6.935986027792543,3326,0.47,11245,5.275050879923381,0,3029,NA,NA,88.71,FED,3.75,NA,NA,35,0.46,66824,1045,8.694481024781515,1703,57837,NA,0,-0.04,1326,FARMERS & MERCHANTS BANK AND TRUST CO.,23.545432778642404,NA,3525,0,231,62148,0,NA,4676,17437_19850630
3.723366450101541,53517,787,SM,257,0.66,5076,15734,9.43,90,3940,0.023943493355680592,88.96,19800,NA,6.446601115225811,1,46199,0.8185582403589619,57837,19850930,11.94,5794,6.997485933197653,405,4676,0,79.87793281117624,0.2665385768705368,5294,80.65515383694482,1.6749670114502193,1100,1326,3489,1300,17437,SD,16,3419,1.6461151682030408,53897,19850930,7.061417417961612,3326,0.64,11245,5.275050879923381,0,3029,NA,NA,86.55,FED,3.69,NA,NA,35,0.52,66824,1045,8.670537531425836,1703,57837,NA,0,0.5,1326,FARMERS & MERCHANTS BANK AND TRUST CO.,23.545432778642404,NA,3525,0,231,62148,0,NA,4676,17437_19850930
3.677105740078928,53517,806,SM,411,0.73,6658,16002,10.46,224,5686,0.0702802424668365,84.72,18392,NA,7.551345609065156,9,44378,0.7962790137580155,60191,19851231,11.55,7314,7.038273448710066,529,4807,0,73.7286305261584,0.49718998872444137,5294,79.80467949281092,1.783817280453258,1228,710,4329,1475,17437,SD,48,4487,1.7980028697765673,54505,19851231,7.179234434039756,3390,0.91,10984,4.992825558581511,11,3412,NA,NA,88.13,FED,3.51,NA,NA,36,0.62,68298,1377,10.708951945884214,2702,60191,NA,0,1.16,710,FARMERS & MERCHANTS BANK AND TRUST CO.,23.429675832381623,NA,3410,0,305,63491,0,NA,4807,17437_19851231
3.7537759747891113,53517,713,SM,154,0.57,1585,14836,8.3,247,5430,0.2615140918736364,85.19,18223,NA,10.91871091871092,0,42946,0.5738965802863567,60445,19860331,8.3,6404,6.781433993843211,97,4538,0,71.04971461659359,2.224148216516777,5294,82.2125586538749,1.6331111569206809,1433,2118,3820,0,17437,SD,175,1046,2.1414268208852625,55015,19860331,6.793616575346567,3030,0.91,11153,4.964284646881258,0,4767,NA,NA,90.33,FED,3.75,NA,NA,38,0.91,66918,374,9.569921396335813,2649,60445,NA,0,2.22,2118,FARMERS & MERCHANTS BANK AND TRUST CO.,22.170417525927256,NA,3322,0,91,62380,0,NA,4538,17437_19860331
3.807249227311042,55919,883,SM,358,0.39,3147,14514,5.6,281,4137,0.12928149905700553,85.11,17397,NA,9.2829284338142,1,41679,0.4806831074222249,59167,19860630,6.93,5247,6.999452454827523,161,4602,0,70.44298341981172,1.2830562002967925,3248,83.69836344831782,2.074620553545416,794,1383,3254,825,17437,SD,85,2063,1.2076412970736754,55030,19860630,6.878820944380502,3445,1.23,12974,5.209283932591106,0,3951,NA,NA,89.99,FED,3.86,1016,NA,38,1.07,65748,761,7.9804708888483304,2568,59167,NA,0,0.32,1383,FARMERS & MERCHANTS BANK AND TRUST CO.,22.075196203686804,NA,3425,1.545294153434325,182,61146,0,NA,4602,17437_19860630
