CERT,label,NAME,CITY,PSTALP,fail_date,QBFASSET,region,size_bucket,n_filings
27364,First State Bank (FL 2009),FIRST STATE BANK,SARASOTA,FL,2009-08-07,447667,South,$100M to $1B,20
9609,Colonial Bank (AL 2009),COLONIAL BANK,MONTGOMERY,AL,2009-08-14,25455112,South,Over $10B,20
57645,Community Bank of Arizona (AZ 2009),COMMUNITY BANK OF ARIZONA,PHOENIX,AZ,2009-08-14,158517,West,$100M to $1B,20
34043,Community Bank of Nevada (NV 2009),COMMUNITY BANK OF NEVADA,LAS VEGAS,NV,2009-08-14,1397798,West,$1B to $10B,20
31559,Dwelling House Savings and Loan (PA 2009),DWELLING HOUSE SAVINGS AND LOAN,PITTSBURGH,PA,2009-08-14,12947,Northeast,Under $100M,20
34485,"Union Bank, National Association (AZ 2009)","UNION BANK, NATIONAL ASSOCIATION",GILBERT,AZ,2009-08-14,119529,West,$100M to $1B,20
22130,Capitalsouth Bank (AL 2009),CAPITALSOUTH BANK,BIRMINGHAM,AL,2009-08-21,586586,South,$100M to $1B,20
34682,Ebank (GA 2009),EBANK,ATLANTA,GA,2009-08-21,144688,South,$100M to $1B,20
57702,First Coweta (GA 2009),FIRST COWETA,NEWNAN,GA,2009-08-21,163755,South,$100M to $1B,20
32618,Guaranty Bank (TX 2009),GUARANTY BANK,AUSTIN,TX,2009-08-21,13464352,South,Over $10B,20
27197,Affinity Bank (CA 2009),AFFINITY BANK,VENTURA,CA,2009-08-28,1211431,West,$1B to $10B,20
28312,Bradford Bank (MD 2009),BRADFORD BANK,BALTIMORE,MD,2009-08-28,451888,South,$100M to $1B,20
1909,Mainstreet Bank (MN 2009),MAINSTREET BANK,FOREST LAKE,MN,2009-08-28,458533,Midwest,$100M to $1B,20
25231,First Bank of Kansas City (MO 2009),FIRST BANK OF KANSAS CITY,KANSAS CITY,MO,2009-09-04,15723,Midwest,Under $100M,20
34875,First State Bank (AZ 2009),FIRST STATE BANK,FLAGSTAFF,AZ,2009-09-04,107235,West,$100M to $1B,20
20203,Inbank (IL 2009),INBANK,OAK FOREST,IL,2009-09-04,209848,Midwest,$100M to $1B,20
35030,Platinum Community Bank (IL 2009),PLATINUM COMMUNITY BANK,ROLLING MEADOWS,IL,2009-09-04,147961,Midwest,$100M to $1B,20
27732,Vantus Bank (IA 2009),VANTUS BANK,SIOUX CITY,IA,2009-09-04,503643,Midwest,$100M to $1B,20
57736,Brickwell Community Bank (MN 2009),BRICKWELL COMMUNITY BANK,WOODBURY,MN,2009-09-11,72576,Midwest,Under $100M,20
