CERT,NAME,CITY,STALP,ASSET
7230,"NBT Bank, National Association",Norwich,NY,16090102
33681,Bank of Baroda,New York,NY,15828371
57038,Nicolet National Bank,Green Bay,WI,15548303
21716,"Citizens Business Bank, National Association",Ontario,CA,15511016
3066,First Financial Bank,Abilene,TX,15317679
58665,Live Oak Banking Company,Wilmington,NC,15229819
25178,"Bank of America California, National Association",San Francisco,CA,15126000
6976,Dime Commercial Bank,Hauppauge,NY,14990679
34967,Popular Bank,New York,NY,14953476
19581,Bell Bank,Fargo,ND,14816488
28359,"OceanFirst Bank, National Association",Toms River,NJ,14471195
57919,ConnectOne Bank,Englewood Cliffs,NJ,14200455
19977,Israel Discount Bank of New York,New York,NY,13986756
29209,NexBank,Dallas,TX,13442736
57570,Comenity Capital Bank,Draper,UT,13310873
57833,Beal Bank USA,Las Vegas,NV,13025805
35141,BMW Bank of North America,Salt Lake City,UT,13013553
15019,First Bank,Southern Pines,NC,12937641
6653,The Park National Bank,Newark,OH,12926059
27476,BancFirst,Oklahoma City,OK,12799696
59052,NBH Bank,Greenwood Village,CO,12564538
32245,"Dollar Bank, Federal Savings Bank",Pittsburgh,PA,12480067
17491,PlainsCapital Bank,University Park,TX,12440134
7468,First Commonwealth Bank,Indiana,PA,12232517
26876,Safra National Bank of New York,New York,NY,12154963
57358,Stifel Bank,Saint Louis,MO,12142509
31469,Oriental Bank,San Juan,PR,11965833
1225,Farmers and Merchants Bank of Long Beach,Long Beach,CA,11856598
32551,"Happen Bank, National Association",Lehi,UT,11845708
28834,Columbia Bank,Fair Lawn,NJ,11009182
58629,Stellar Bank,Houston,TX,10888501
1281,Washington Trust Bank,Spokane,WA,10700024
33686,Bank Hapoalim B.M.,New York,NY,10608090
59108,Charles Schwab Trust Bank,Westlake,TX,10419683
14531,Amarillo National Bank,Amarillo,TX,10225871
12614,Origin Bank,Choudrant,LA,10093380
12854,Centier Bank,Whiting,IN,10084903
21943,Tri Counties Bank,Chico,CA,9946447
11124,S&T Bank,Indiana,PA,9939635
34742,EagleBank,Bethesda,MD,9902571
35444,"The Bancorp Bank, National Association",Sioux Falls,SD,9899655
19629,International Bank of Commerce,Laredo,TX,9892909
20624,Byline Bank,Chicago,IL,9886789
22953,"Amerant Bank, National Association",Coral Gables,FL,9880787
27981,Capitol Federal Savings Bank,Topeka,KS,9843365
6544,Peoples Bank,Marietta,OH,9637896
34507,Principal Bank,Des Moines,IA,9604911
34697,WEX Bank,Sandy,UT,9525737
258,Stock Yards Bank & Trust Company,Louisville,KY,9457499
33935,"Wintrust Bank, National Association",Chicago,IL,9278678
13421,Union Bank and Trust Company,Lincoln,NE,9188563
23220,Woodforest National Bank,The Woodlands,TX,9178494
622,Amalgamated Bank,New York,NY,9168378
10634,Pinnacle Bank,Lincoln,NE,9115395
9087,1st Source Bank,South Bend,IN,9110853
32526,"American Savings Bank, National Association",Honolulu,HI,9042709
27389,Wells Fargo National Bank West,Las Vegas,NV,9029626
17943,Liberty Bank,Middletown,CT,9017093
27589,"Lake Forest Bank & Trust Company, National Association",Lake Forest,IL,8997757
34519,Merrick Bank,South Jordan,UT,8933716
58228,b1BANK,Baton Rouge,LA,8903421
